centre_code,centre_name,license_issue_date,license_tenure
RC1865,JAMIYAH KINDERGARTEN,2025-03-06,36
PT9769,JHS Montessori,2026-01-04,36
PT8985,Josiah Montessori,2025-11-01,36
PT8744,Josiah Montessori - Changi Business Park,2025-04-14,36
PT8655,Josiah Montessori - Pasir Ris,2026-04-25,24
PT8120,JOSIAH MONTESSORI : CITY CHILDCARE CENTRE,2026-05-26,24
PT9082,JOSIAH MONTESSORI APERIA,2025-11-06,36
PT9694,Josiah Montessori Kindergarten,2024-09-27,36
PT9055,JOY TALENT CHILDCARE CENTRE PTE. LTD.,2024-07-22,36
PT9053,Joyful Tots @ Bendemeer Pte Ltd,2026-06-26,24
PT8831,JUDE CHILD CARE AND CHILD DEVELOPMENT CENTRE,2026-04-01,24
